Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
2971,Resident Evil Zero,"GC, PC",2002,Action,Capcom,0.55,0.28,0.45,0.04,8.2,0.0,Medium Profile,10
2972,Reel Fishing,PS,1998,Sports,Natsume,0.99,0.13,0.1,0.04,0.0,0.0,Medium Profile,17
2975,Black,"PS2, XB",2006,Shooter,Electronic Arts,1.32,0.13,0.03,0.17,7.7,0.0,High Profile,23
2976,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.06,0.0,0.0,7.3,0.0,Medium Profile,14
2977,FIFA Street (2012),"PS3, X360",2012,Sports,EA Sports,0.33999999999999997,1.54,0.0,0.31,0.0,0.0,High Profile,4
2978,Ratatouille,"DS, PS2, PSP, PS3, Wii, X360, GBA, GC, PC",2007,Platform,THQ,2.03,1.36,0.0,0.9900000000000001,6.166666666666667,0.0,High Profile,12
2979,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,Conspiracy Entertainment,0.45,0.68,0.0,0.12,0.0,0.0,Medium Profile,17
2980,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0.0,0.16,0.0,0.0,Medium Profile,10
2981,Cars 2,"DS, Wii, PS3, X360, 3DS, PSP",2011,Racing,Disney Interactive Studios,1.9200000000000002,1.17,0.04,0.4,7.375,0.0,Medium Profile,7
2983,Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0.0,0.04,0.0,0.0,High Profile,18
2984,Baldur's Gate: Dark Alliance,"PS2, XB, GC, GBA",2001,Role-Playing,VU Games,0.89,0.5599999999999999,0.0,0.17,7.85,0.0,Medium Profile,5
2985,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0.0,0.06,8.3,0.0,Low Profile,37
2986,LEGO The Lord of the Rings,"X360, PS3, Wii, PC, 3DS, PSV, DS",2012,Misc,Warner Bros. Interactive Entertainment,1.8599999999999999,1.98,0.0,0.47000000000000003,0.0,0.0,Medium Profile,19
2987,Ridge Racer V,PS2,2000,Racing,Namco,0.24,0.19,0.75,0.06,0.0,0.0,Medium Profile,7
2989,WWE SmackDown vs. Raw 2009,"PS2, PS3, X360, Wii, PSP, DS",2008,Sports,THQ,2.77,1.09,0.01,0.9800000000000001,7.966666666666666,0.0,High Profile,4
2991,Naruto Shippuden: Ultimate Ninja Storm 3,"PS3, X360",2013,Fighting,Namco Bandai Games,0.62,0.53,0.16,0.18,0.0,0.0,Medium Profile,16
2992,Tales of Berseria,"PS4, PS3",2017,Role-Playing,Namco Bandai Games,0.22,0.1,0.39,0.07,0.0,0.0,Medium Profile,5
2993,Tetris 2,"GB, NES",1993,Puzzle,Nintendo,1.1800000000000002,0.35,0.64,0.05,0.0,0.0,High Profile,36
2996,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.03,0.0,0.09,0.0,0.0,High Profile,1
2999,Frogger: The Great Quest,PS2,2001,Platform,Konami,0.6,0.47,0.0,0.16,3.0,0.0,High Profile,12
3001,Driv3r,"PS2, XB, GBA",2004,Racing,Atari,0.98,0.86,0.0,0.19,0.0,0.0,Medium Profile,7
3003,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,0.0,0.0,High Profile,9
3004,2010 FIFA World Cup South Africa,"PS3, X360, PSP, Wii",2010,Sports,EA Sports,0.94,1.44,0.13,0.47,7.55,0.0,High Profile,4
3005,Aliens vs Predator,"PC, X360, PS3",2010,Shooter,Sega,0.96,1.03,0.0,0.31,6.1000000000000005,0.0,High Profile,23
3006,Spongebob Squarepants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0.0,0.02,0.0,0.0,High Profile,12
3007,Vigilante 8,"PS, N64",1998,Racing,Activision,0.93,0.53,0.0,0.08,0.0,0.0,High Profile,18
3008,Bayonetta 2,"NS, WiiU",2018,Action,Nintendo,0.63,0.52,0.17,0.1,9.4,0.0,High Profile,1
3009,Castlevania,"NES, N64",1987,Platform,Konami,0.98,0.16,0.66,0.060000000000000005,7.6,0.0,High Profile,12
3010,Kirby Tilt 'n' Tumble,GB,2001,Puzzle,Nintendo,0.29,0.17,0.75,0.02,0.0,0.0,High Profile,36
3011,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2002,Strategy,Konami,1.64,0.36,0.0,0.07,0.0,0.0,High Profile,35
3012,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,7.6,0.0,High Profile,12
3015,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,7.4,0.0,High Profile,36
3016,Game & Watch Gallery 2,GB,1998,Misc,Nintendo,0.76,0.3,0.12,0.04,0.0,0.0,High Profile,9
3017,Game & Watch Gallery 3,GB,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,0.0,0.0,High Profile,9
3019,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.48,0.06,0.41,0.05,8.4,0.0,High Profile,12
3020,Miitopia,3DS,2017,Role-Playing,Nintendo,0.3,0.54,0.26,0.07,6.6,0.0,High Profile,3
3025,WWE 2K17,"PS4, XOne, PS3, X360",2016,Sports,2K Games,0.8300000000000001,1.28,0.0,0.33,0.0,0.0,Medium Profile,17
3026,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,0.0,0.0,Low Profile,6
3027,NBA Live 99,"PS, N64",1998,Sports,EA Sports,1.5799999999999998,0.07,0.0,0.03,8.3,0.0,High Profile,4
3031,WCW Mayhem,"PS, N64",1999,Fighting,Electronic Arts,1.31,0.61,0.0,0.09,0.0,0.0,High Profile,15
3032,NBA 2K2,"PS2, XB, GC",2002,Sports,Sega,0.83,0.52,0.01,0.16,8.8,0.0,High Profile,4
3033,NASCAR Thunder 2003,"PS2, GC, XB",2002,Racing,EA Sports,1.04,0.5800000000000001,0.0,0.18,8.8,0.0,High Profile,18
3034,Cars,"PS2, PSP, GBA, DS, GC, Wii, X360, XB",2006,Racing,THQ,5.31,0.94,0.0,0.5800000000000001,6.625,0.0,High Profile,18
3035,Fuzion Frenzy,XB,2001,Misc,Microsoft,0.93,0.24,0.0,0.04,0.0,0.0,Low Profile,0
