,Rank,Name,Critic_Score,User_Score
390,1037,Fallout 3,8.8,
391,1039,The Elder Scrolls V: Skyrim,9.2,
392,1040,Namco Museum: 50th Anniversary,,
393,1041,NBA 2K16,8.7,
394,1043,Far Cry 5,7.9,
395,1044,Battlefield 4,8.3,
396,1045,Assassin's Creed IV: Black Flag,8.7,
397,1046,Half-Life 2: Episode One,8.7,
398,1047,Dark Souls III,,
399,1048,Donkey Kong Land,,
400,1049,English Training: Have Fun Improving Your Skills!,,
401,1050,Dragon Quest III,,8.0
402,1051,Tony Hawk's Underground,8.7,
403,1052,Resistance: Fall of Man,8.5,9.1
404,1053,Just Dance 2014,7.4,
405,1054,Professor Layton and the Diabolical Box,8.5,
406,1055,Sports Champions,7.6,
407,1057,World Soccer Winning Eleven 8 International,9.3,
408,1059,Namco Museum Vol.1,,
409,1061,The Legend of Zelda: Link's Awakening,,
410,1062,Resident Evil VII: Biohazard,8.6,
411,1065,Monster Hunter Freedom Unite,7.7,9.7
412,1066,Super Mario Maker,7.3,
413,1067,LEGO Indiana Jones: The Original Adventures,7.5,
414,1068,The Sims: Unleashed,7.3,
415,1069,Tomodachi Collection,,
416,1070,Ratchet & Clank: Size Matters,8.5,
417,1071,1-2-Switch,5.7,
418,1073,Pokémon Trading Card Game,8.3,
419,1074,Ratchet & Clank,,
420,1075,FIFA 17,8.8,
421,1077,FIFA Soccer 2005,8.4,
422,1080,The Legend of Zelda: Skyward Sword,9.4,
423,1081,Tony Hawk's Pro Skater 4,9.6,
424,1083,Midnight Club 3: DUB Edition,7.2,
425,1084,MySims,6.7,
426,1085,Banjo-Kazooie,9.3,9.4
427,1086,SOCOM: U.S. Navy SEALs,8.0,
428,1088,Battlefield 4,8.7,
429,1089,Jak and Daxter: The Precursor Legacy,9.0,8.9
430,1090,Pokémon Snap,7.9,
431,1091,Pro Evolution Soccer 2008,8.2,
432,1092,FIFA Soccer 10,9.0,
433,1093,Guitar Hero: World Tour,8.4,
434,1094,Star Wars Battlefront,8.1,
435,1095,Doom II,9.3,
436,1096,The Simpsons: Road Rage,6.1,
437,1102,Assassin's Creed Syndicate,8.6,
438,1103,Star Wars Battlefront II,8.5,
439,1104,Assassin's Creed: Unity,,
440,1105,Cooking Mama 2: Dinner With Friends,6.9,
441,1107,WWF SmackDown!,,
442,1108,Battlefield 4,8.7,
443,1109,Grand Theft Auto: Liberty City Stories,8.3,
444,1110,The Getaway,7.7,
445,1111,Tomb Raider III: Adventures of Lara Croft,8.2,
446,1112,Batman: Arkham Asylum,9.1,
447,1113,Assassin's Creed: Brotherhood,9.1,
448,1114,James Bond 007: Agent Under Fire,,
449,1115,LEGO Star Wars: The Video Game,7.9,
450,1116,Resident Evil 5,8.6,
451,1117,Rugrats in Paris: The Movie,,
452,1118,NBA 2K17,9.0,
453,1119,FIFA Soccer 11,8.7,
454,1120,Animal Crossing: Happy Home Designer,6.6,
455,1121,Donkey Kong Country 3: Dixie Kong's Double Trouble!,8.8,
456,1132,Fable II,9.0,9.3
457,1134,Kung Fu,,
458,1140,Resident Evil 3: Nemesis,9.4,
459,1143,World of Warcraft: The Burning Crusade,9.2,
460,1148,FIFA Soccer 2004,8.0,
461,1149,Pokémon Mystery Dungeon: Blue Rescue Team,6.3,
462,1150,Mortal Kombat X,,
463,1151,Battlefield: Bad Company 2,9.0,9.3
464,1154,Borderlands,8.3,
465,1156,Mario & Sonic at the Olympic Winter Games,7.6,
466,1157,Dying Light,,
