Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
9852,Musou Orochi Z,PS3,2009.0,Action,KOEI  ,,,0.23,,,
9853,World Series of Poker 2008: Battle for the Bracelets,PS2,2007.0,Action,Activision  ,0.11,0.09,,0.03,,
9854,Bass Pro Shops: The Hunt,Wii,2010.0,Sports,XS Games  ,0.21,,,0.02,,
9856,Genji: Dawn of the Samurai,PS2,2005.0,Action,Sony Computer Entertainment  ,0.11,0.09,,0.03,,
9857,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009.0,Adventure,Namco Bandai  ,,,0.23,,,
9858,Critical Depth,PS,1997.0,Action,GT Interactive  ,0.13,0.09,,0.01,,
9859,Barbie as The Island Princess,GBA,2007.0,Adventure,Activision  ,0.16,0.06,,0.0,5.5,
9860,Cars 2,3DS,2011.0,Racing,Disney Interactive Studios  ,0.21,,,0.02,,
9861,Deca Sports 3,Wii,2010.0,Sports,Hudson Soft  ,0.14,0.07,,0.02,,
9862,Rune Factory: Tides of Destiny,PS3,2011.0,Simulation,Natsume  ,0.14,,0.07,0.02,6.5,
9863,Saka-Tsuku DS: Touch and Direct,DS,2008.0,Sports,Sega  ,,,0.23,,,
9864,Soul Sacrifice Delta,PSV,2014.0,Role-Playing,Sony Computer Entertainment  ,0.0,0.08,0.12,0.02,,
9865,Mega Man Battle Network 5: Team Colonel / Protoman,GBA,2004.0,Role-Playing,Capcom  ,0.16,0.06,,0.0,,
9866,The Italian Job,PS2,2003.0,Racing,Eidos Interactive  ,0.11,0.09,,0.03,,
9867,Pitfall: The Big Adventure,Wii,2008.0,Adventure,Activision  ,0.19,0.02,,0.02,,
9868,Barbie and the Three Musketeers,Wii,2009.0,Adventure,Activision  ,0.21,0.0,,0.02,,
9869,Lunar Knights,DS,2007.0,Role-Playing,Konami  ,0.17,0.01,0.04,0.01,8.2,
9870,Ys Seven,PSP,2010.0,Role-Playing,Xseed Games  ,0.14,,0.08,0.02,7.6,
9871,Freedom Fighters,XB,2003.0,Shooter,Electronic Arts  ,0.17,0.05,,0.01,,
9872,Soldier of Fortune II: Double Helix,XB,2003.0,Shooter,Activision  ,0.17,0.05,,0.01,,
9873,Disney Princess: Enchanted Journey,PS2,2007.0,Adventure,Disney Interactive Studios  ,0.11,0.09,,0.03,,
9874,Hot Wheels: Beat That!,DS,2007.0,Racing,Activision  ,0.21,0.0,,0.02,,
9876,Sniper: Ghost Warrior 3,PC,2017.0,Shooter,City Interactive  ,0.02,0.01,,0.0,,
9877,Naruto: Ninja Council 2 - European Edition,DS,2008.0,Fighting,Tomy Corporation  ,,0.0,0.23,,,
9879,Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006.0,Role-Playing,Square Enix  ,0.06,0.05,0.1,0.02,,
9880,Alundra,PS,1997.0,Role-Playing,Working Designs  ,0.13,0.09,,0.01,8.8,
9881,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,2010.0,Sports,Konami  ,,,0.23,,,
9883,Bratz: Girlz Really Rock,PS2,2008.0,Action,THQ  ,0.11,0.09,,0.03,,
9884,Super R-Type,SNES,1991.0,Shooter,Irem Software Engineering  ,,,0.23,,,
9885,Rampage 2: Universal Tour,PS,1999.0,Action,Midway Games  ,0.13,0.09,,0.01,,
9886,Super Robot Taisen F Kanketsuhen,PS,1999.0,Strategy,Banpresto  ,,,0.21,0.01,,
9887,BlowOut,PS2,2003.0,Shooter,Majesco  ,0.11,0.09,,0.03,,
9888,NFL Blitz Pro,PS2,2003.0,Sports,Midway Games  ,0.11,0.09,,0.03,,
9889,Tiger Woods PGA Tour 2003,GC,2002.0,Sports,EA Sports  ,0.18,0.05,,0.01,,
9890,The Evil Within 2,PC,2017.0,Action,Bethesda Softworks  ,0.02,0.03,,0.0,,
9892,New Carnival Games,DS,2010.0,Misc,2K Games  ,0.16,0.05,,0.02,,
9893,I Love Horses,DS,2009.0,Simulation,Bold Games  ,0.21,0.0,,0.01,,
9895,Saint Seiya: Sanctuary Battle,PS3,2012.0,Action,Namco Bandai Games  ,,0.09,0.11,0.02,,
9896,The Raiden Project,PS,1995.0,Shooter,Sony Computer Entertainment  ,0.06,0.04,0.12,0.01,,
9898,Pocket Fighter,PS,1998.0,Fighting,Capcom  ,0.06,0.04,0.12,0.01,,
9900,Bicycle Casino 2005,XB,2004.0,Misc,Activision  ,0.17,0.05,,0.01,,
