Rank,Name,Critic_Score,User_Score
1254,Need for Speed III: Hot Pursuit,,
1255,The Elder Scrolls IV: Oblivion,9.3,
1256,Star Wars Episode I Racer,8.7,
1257,Tekken 6,7.9,
1258,Yoshi,,
1259,Resident Evil 6,,
1260,Tom Clancy's Ghost Recon Wildlands,7.0,
1261,NBA 2K13,8.6,
1262,Titanfall,,
1263,Mario Party 9,6.5,
1268,Mass Effect 2,9.5,8.9
1270,Fire Emblem Fates,,
1271,Madden NFL 2002,,
1272,World Class Track Meet,,
1273,LEGO Batman: The Videogame,7.3,
1274,Saints Row 2,7.9,
1275,Donkey Kong,,
1276,New Super Luigi U,7.8,
1277,The Sims: Vacation,,
1278,Call of Duty: Ghosts,7.5,
1279,LEGO Batman: The Videogame,7.8,
1280,Borderlands 2,,
1281,Kung Fu Panda,7.5,
1282,Mass Effect 3,9.5,
1285,Rhythm Heaven,8.5,
1286,Metal Gear Solid V: The Phantom Pain,,
1287,Rayman,7.0,
1288,Tom Clancy's Splinter Cell,9.3,9.1
1289,Mike Tyson's Punch-Out!!,,
1290,Professor Layton and the Unwound Future,8.4,
1293,Age of Empires,,
1302,Croc: Legend of the Gobbos,7.6,
1304,Crysis,9.2,8.5
1309,Dishonored,,
1314,Fable,8.6,
1322,Gears of War 3,9.1,
1324,God of War: Ascension,,
1326,Halo 3: ODST,8.7,
1327,Heavy Rain,8.8,8.6
1329,Kinect Sports,7.4,
1331,Left 4 Dead,8.7,9.0
1332,Left 4 Dead 2,9.0,
1342,MotorStorm,8.2,
1351,Sid Meier's Civilization IV,9.4,
1352,Sonic and the Secret Rings,6.7,
1353,Sonic Rush,7.8,
1359,Torchlight II,,
1361,Warcraft II: Tides of Darkness,9.3,
1368,WWE SmackDown! vs. Raw 2006,8.4,
1369,Kirby Super Star Ultra,7.3,
1370,Star Fox,,
1371,The Sims: Livin Large,,
1372,World Soccer Winning Eleven 6 International,,
1373,Far Cry 3,,
1374,Mario vs. Donkey Kong: Mini-Land Mayhem!,7.8,
1375,Style Savvy,7.6,
1376,Super Meat Boy,9.2,
1377,Yokai Watch,7.7,
1378,Ratchet & Clank: Going Commando,8.7,
1379,The Legend of Zelda: Spirit Tracks,8.7,
1380,Battlefield: Bad Company 2,8.9,8.8
1381,Hitman 2: Silent Assassin,,
1382,Mario Party: Island Tour,5.5,
1383,Street Fighter IV,9.3,9.3
1384,WWE SmackDown! vs. RAW 2006,,
1385,Donkey Kong Country Returns 3D,8.6,
1386,Wave Race 64,9.2,
1387,Pac-Man Collection,,
1388,Pokémon Ranger,6.6,
1390,Madden NFL 13,8.0,
1392,Doom (2016),,
1393,Mass Effect,9.2,9.1
1394,FIFA 15,6.9,
1395,Counter-Strike: Condition Zero,6.8,
1396,Dragon Ball Z: Budokai 2,,
1398,Final Fantasy III,9.1,
1399,Nioh,,
1401,Mortal Kombat (2011),8.5,
1402,Sega Superstars Tennis,6.9,
1403,Cooking Mama: Cook Off,5.9,
1404,Hot Shots Golf 3,,
1405,Call of Duty: Finest Hour,,
1406,Middle-Earth: Shadow of Mordor,,
1409,Imagine: Babyz,3.5,
1410,Mafia III,6.9,
1412,Colin McRae Rally,7.9,
1413,Wii Music,5.6,
1414,The Elder Scrolls III: Morrowind,8.2,
1416,Assassin's Creed: Brotherhood,9.1,
1417,F-Zero,,
1418,Yoshi's Story,,
1419,The Walking Dead: A Telltale Games Series,,
1421,Metroid Prime,9.6,9.5
1422,Resistance 2,8.5,8.7
1423,Zumba Fitness 2,,
1424,Madden NFL 10,8.6,
1425,BioShock,9.6,9.5
1427,Yoshi's Island: Super Mario Advance 3,,
1428,WWE SmackDown! vs. Raw,,
1429,Finding Nemo,7.0,
1430,Medal of Honor,6.7,
1431,Diablo III: Ultimate Evil Edition,,
1433,The Legend of Zelda: A Link to the Past,9.6,
1435,Gran Turismo (PSP),7.8,
1438,Need for Speed: Hot Pursuit,8.9,
1439,Imagine: Fashion Designer,3.0,
1440,Killzone 3,8.2,
1441,Hitman: Absolution,9.0,
1443,Baldur's Gate,9.2,
1445,Dragon Quest V: Tenkuu no Hanayome,,
1449,Madden NFL 07,8.5,
1450,Magicka,7.6,
1451,Resident Evil 4,8.0,
1454,Hot Shots Golf,,
1455,Trine 2,,
1456,Skylanders: Spyro's Adventure,8.0,
1457,A Bug's Life,3.6,
1458,WWF SmackDown! Just Bring It,,
1459,Mortal Kombat Trilogy,,
1460,NBA Street,,
1462,The Sims,,
1463,Star Wars: The Force Unleashed,7.1,
1464,Saints Row: The Third,8.3,
1466,Battlefield 3,8.9,
1468,Resident Evil,8.6,
1469,Need for Speed: Most Wanted (2012),8.5,
1470,Tetris DS,8.5,
1471,L.A. Noire,9.1,
1472,Metroid,,
1473,Far Cry: Primal,7.2,
1475,ARMS,7.9,
1476,Overwatch,8.7,
1477,Need for Speed (2015),7.0,
1478,Madden NFL 13,8.3,
1479,Skate 3,8.3,
1480,Tom Clancy's Rainbow Six: Siege,,
1481,World Soccer Winning Eleven 7 International,9.2,
1482,Divinity: Original Sin,,
1483,Madden NFL 12,7.8,
1487,Mario & Luigi: Dream Team,8.0,
1488,Mario Party,7.6,
1490,World of Warcraft: Mists of Pandaria,,
1491,Xenoblade Chronicles 2,8.2,9.2
1492,Call of Duty 3,8.0,8.4
1493,LEGO Star Wars II: The Original Trilogy,8.4,
1495,Madden NFL 11,8.3,
1496,Burnout 3: Takedown,9.3,
